city_name,city_id,lat,lon,unix_dt,temp_max_c,temp_max_f,humidity,cloudiness,windspeed
Bardiyah,80509,31.76,25.09,1579899230,13.65,56.57,53,0,1.67
San Luis de la Paz,3985620,21.3,-100.52,1579899097,22.22,71.99600000000001,38,88,1.79
Kruisfontein,986717,-34.0,24.73,1579899230,21.11,69.99799999999999,78,0,3.08
Sumbe,3346015,-11.21,13.84,1579899231,24.55,76.19,89,64,1.27
Tshikapa,204953,-6.42,20.8,1579899231,22.86,73.148,75,100,0.5
Saint-Francois,2980080,46.42,3.91,1579899231,2.22,35.996,94,2,1.5
Abu Samrah,172515,35.3,37.18,1579899231,2.08,35.744,52,0,2.5
Laas,3175096,46.62,10.7,1579899231,1.67,35.006,73,75,1.0
Saint George,5546220,37.1,-113.58,1579899221,16.11,60.998000000000005,38,40,2.1
Baharly,162158,38.44,57.43,1579899232,5.16,41.288,70,100,0.95
Alofi,4036284,-19.06,-169.92,1579899226,27.64,81.75200000000001,83,100,6.6
Kousseri,2229798,12.08,15.03,1579899232,22.0,71.6,12,0,4.1
Santarem,3389353,-2.44,-54.71,1579899064,32.0,89.6,62,20,4.6
Mazagao,3395042,-0.12,-51.29,1579899232,31.0,87.80000000000001,74,75,2.1
Broken Hill,2173911,-31.95,141.43,1579899233,15.0,59.0,41,0,2.1
Vaitape,4033077,-16.52,-151.75,1579899233,27.91,82.238,78,0,6.47
Antofagasta,3899539,-23.65,-70.4,1579899221,24.0,75.2,69,75,5.7
Necochea,3430443,-38.55,-58.74,1579899232,23.89,75.00200000000001,77,0,4.92
Guerrero Negro,4021858,27.98,-114.06,1579899202,20.65,69.17,43,100,4.37
Mayumba,2399001,-3.43,10.66,1579899233,27.86,82.148,78,92,1.8
Imbituba,3461370,-28.24,-48.67,1579899233,26.0,78.80000000000001,74,20,8.2
Maragogi,3395458,-9.01,-35.22,1579899234,27.79,82.02199999999999,76,100,6.07
High Level,5975004,58.52,-117.14,1579899234,-7.0,19.4,92,90,0.91
Chapais,5919850,49.78,-74.85,1579899234,-10.0,14.0,72,1,2.1
Ancud,3899695,-41.87,-73.82,1579899219,18.0,64.4,59,75,7.2
Cockburn Town,3576994,21.46,-71.14,1579898978,24.59,76.262,53,0,1.7
Rio Pomba,3451094,-21.27,-43.18,1579899234,19.0,66.2,93,75,0.5
Dolores,3435038,-36.31,-57.68,1579899234,38.37,101.066,17,0,7.25
Christchurch,2192362,-43.53,172.63,1579898993,26.67,80.006,88,100,2.6
Aykhal,2027296,66.0,111.5,1579899235,-33.0,-27.4,82,100,3.0
Meulaboh,1214488,4.14,96.13,1579899235,28.29,82.922,74,74,0.52
Los Llanos de Aridane,2514651,28.66,-17.92,1579898639,17.22,62.995999999999995,59,20,3.6
Padang,1633419,-0.95,100.35,1579899195,19.94,67.892,94,3,2.02
Puro,1692364,12.48,123.38,1579899073,25.1,77.18,87,5,4.55
Rajula,1258795,21.05,71.43,1579899236,19.46,67.028,44,81,5.09
Acapulco de Juarez,3533462,16.86,-99.89,1579899013,31.0,87.80000000000001,58,20,2.6
Stornoway,2636790,58.21,-6.39,1579899236,8.33,46.994,100,100,8.2
Livingston,2644204,55.9,-3.52,1579899236,8.33,46.994,93,20,4.6
Altamira,3407882,-3.2,-52.21,1579899236,31.0,87.80000000000001,66,40,2.1
Carauari,3664659,-4.88,-66.9,1579899236,27.07,80.726,81,100,3.3
Provideniya,4031574,64.38,-173.3,1579899217,-23.24,-9.832,97,94,2.22
Vila do Maio,3374120,15.13,-23.22,1579898636,25.0,77.0,47,56,7.7
Yangi Marg`ilon,1513491,40.43,71.72,1579899234,3.0,37.4,69,90,3.1
Lewistown,5197850,40.6,-77.57,1579899227,8.89,48.002,70,90,2.1
Margate,2643044,51.38,1.39,1579899237,6.67,44.006,93,75,2.6
Urumqi,1529102,43.8,87.6,1579899237,-18.0,-0.3999999999999986,84,40,1.0
Praia da Vitoria,3372760,38.73,-27.07,1579899237,13.0,55.400000000000006,82,75,2.47
